Est_Income,Age,LongDistance,bigger,buy,pay,phone,Sex_F,Status_M,Children_2,RatePlan_2,RatePlan_4,ID
38000.0,24.393333,23.56,0.0,0.0,0.0,0.0,1,0,0,0,0,1
29616.0,49.426667,29.78,0.0,0.0,0.0,0.2432266894145507,0,1,1,1,0,6
19732.8,50.673333,24.81,0.0,0.0,0.0,0.2432266894145507,0,1,0,0,0,8
96.33,56.473333,26.13,0.0,0.0,0.0,0.2432266894145507,0,0,1,0,0,11
52004.8,25.14,5.03,0.0,0.0,0.0,0.2432266894145507,1,1,1,0,0,14
53010.8,18.84,12.45,0.0,0.0,0.0,0.2432266894145507,0,1,1,0,0,17
75004.5,64.8,26.52,0.0,0.0,0.0,0.2432266894145507,0,1,0,0,0,18
19749.3,60.36666700000001,20.22,0.0,0.0,0.0,0.2432266894145507,0,1,0,0,0,21
57626.9,43.906667,9.38,0.0,0.0,0.0,0.2432266894145507,0,0,0,1,0,22
20078.0,32.846667,9.65,0.0,0.0,0.0,0.2432266894145507,0,1,1,0,1,23
47902.0,26.033333,17.44,0.0,0.0,0.0,0.0,1,1,1,1,0,24
7545.96,16.753332999999998,22.39,0.0,0.0,0.0,0.0,0,1,0,0,0,29
78851.3,48.373333,0.37,0.0,0.0,0.0,0.26442175148139674,1,0,0,0,1,35
17540.7,62.786667,22.17,0.0,0.0,0.0,0.26442175148139674,1,0,0,0,1,36
83891.9,61.02,28.92,0.0,0.0,0.0,0.26442175148139674,1,1,0,0,1,37
28220.8,38.766667,26.49,0.0,0.0,0.0,0.26442175148139674,1,1,1,0,1,38
28589.1,15.6,13.19,0.0,0.0,0.0,0.26442175148139674,1,0,0,0,1,40
5237.63,48.753333000000005,13.32,0.0,0.0,0.0,0.0,1,1,1,1,0,42
89459.9,53.28,11.54,0.0,0.0,0.0,0.0,0,0,1,1,0,45
13576.5,39.426667,14.83,0.0,0.0,0.0,0.0,1,0,0,0,0,48
67388.0,53.12,4.79,0.0,0.0,0.0,0.0,1,1,1,0,0,52
57063.0,52.333333,16.79,0.0,0.0,0.0,0.24688384553650794,1,1,0,0,1,53
84166.1,54.013332999999996,3.28,0.0,0.0,0.0,0.0,1,1,1,1,0,54
7737.94,42.666667,11.05,0.0,0.0,0.0,0.0,1,0,0,0,1,60
100020.0,50.0,21.37,0.0,0.0,0.0,0.0,0,0,1,0,1,61
45287.6,29.026667,0.0,0.0,0.0,0.0,0.138495934828754,1,1,1,0,0,62
59613.1,34.32,12.37,0.0,0.0,0.0,0.0,1,1,1,0,0,63
16326.7,50.613333000000004,0.0,0.0,0.0,0.2825969920341724,0.22940748876359082,1,0,0,0,0,65
9559.78,51.38,18.31,0.0,0.0,0.0,0.0880515316912522,1,0,1,0,0,68
42031.8,50.753333000000005,20.45,0.0,0.0,0.0,0.2432266894145507,1,1,1,0,1,71
83284.1,28.42,26.91,0.0,0.0,0.0,0.22347666678121578,1,1,1,0,1,73
39229.1,26.26,28.82,0.0,0.0,0.0,0.19564249348296106,0,1,0,0,1,74
68427.4,42.393333,23.76,0.0,0.0,0.0,0.24688384553650794,1,0,0,0,0,75
3601.71,49.266667,9.57,0.0,0.0,0.0,0.26442175148139674,0,0,0,0,1,77
72642.6,27.646666999999997,18.66,0.0,0.0,0.0,0.24688384553650794,1,1,0,0,1,78
98716.3,55.66,20.97,0.0,0.0,0.0,0.26442175148139674,1,0,0,0,1,79
66182.7,62.48,11.7,0.0,0.0,0.0,0.24688384553650794,1,0,1,1,0,80
84789.3,50.433333000000005,14.22,0.0,0.0,0.0,0.26442175148139674,1,1,1,0,1,81
35976.5,48.853333,18.85,0.0,0.0,0.0,0.26442175148139674,1,1,1,0,1,83
32703.1,64.92,16.8,0.0,0.0,0.0,0.19564249348296106,1,1,0,0,1,84
77129.1,61.846667000000004,24.77,0.0,0.0,0.0,0.19564249348296106,1,1,0,0,1,85
